2018-11-08 15:33:16.462 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.dwyanewang.ApplicationTests], using SpringBootContextLoader
2018-11-08 15:33:16.469 [main] INFO  o.s.test.context.support.AbstractContextLoader - Could not detect default resource locations for test class [com.dwyanewang.ApplicationTests]: no resource found for suffixes {-context.xml, Context.groovy}.
2018-11-08 15:33:16.470 [main] INFO  o.s.t.c.support.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [com.dwyanewang.ApplicationTests]: ApplicationTests does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2018-11-08 15:33:16.583 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration com.dwyanewang.Application for test class com.dwyanewang.ApplicationTests
2018-11-08 15:33:16.658 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener]
2018-11-08 15:33:16.667 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@732c2a62, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@272ed83b, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@41fecb8b, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@120f102b, org.springframework.test.context.support.DirtiesContextTestExecutionListener@625732, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@51dcb805, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@66498326, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@cad498c, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@1e6454ec, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@2accdbb5]
2018-11-08 15:33:16.958 [main] INFO  com.dwyanewang.ApplicationTests - Starting ApplicationTests on Dwyanewang with PID 4936 (started by My in E:\IdeaProjects\springboot-thymeleaf\demo12-logback)
2018-11-08 15:33:16.963 [main] INFO  com.dwyanewang.ApplicationTests - No active profile set, falling back to default profiles: default
2018-11-08 15:33:18.143 [main] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
2018-11-08 15:33:18.445 [main] INFO  com.dwyanewang.ApplicationTests - Started ApplicationTests in 1.724 seconds (JVM running for 2.569)
2018-11-08 15:33:18.607 [Thread-2] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Shutting down ExecutorService 'applicationTaskExecutor'
